id,subset,priority,setup,memory_seed,memory_layer,user_query,must_call_retrieve,gold_behavior,must_include_signals,must_not,pass_rule,longmemeval_align,run_result,error_code,notes
BANK-A-0001,A_empty_abstain,P1,新会话；记忆库为空,,,我平时喜欢喝什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0002,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我平时喜欢喝什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0003,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我平时喜欢喝什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0004,A_empty_abstain,P1,新会话；记忆库为空,,,我的家乡是哪里？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0005,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我的家乡是哪里？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0006,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我的家乡是哪里？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0007,A_empty_abstain,P1,新会话；记忆库为空,,,我在哪所大学读本科？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0008,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我在哪所大学读本科？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0009,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我在哪所大学读本科？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0010,A_empty_abstain,P1,新会话；记忆库为空,,,我养没养宠物？叫什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0011,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我养没养宠物？叫什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0012,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我养没养宠物？叫什么？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0013,A_empty_abstain,P1,新会话；记忆库为空,,,我过敏吗？对什么过敏？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0014,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我过敏吗？对什么过敏？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0015,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我过敏吗？对什么过敏？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0016,A_empty_abstain,P1,新会话；记忆库为空,,,我通勤一般怎么去公司？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0017,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我通勤一般怎么去公司？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0018,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我通勤一般怎么去公司？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0019,A_empty_abstain,P1,新会话；记忆库为空,,,我作息大概几点睡？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0020,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我作息大概几点睡？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0021,A_empty_abstain,P1,新会话；记忆库为空,,,你作为我的认知镜像，我作息大概几点睡？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0022,A_empty_abstain,P1,新会话；记忆库为空,,,我周末通常做什么运动？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
BANK-A-0023,A_empty_abstain,P1,新会话；记忆库为空,,,顺便问一下，我周末通常做什么运动？,yes_then_empty,空结果→承认没有→追问补充；禁止编造,承认没有/不知道|追问,具体编造事实,Abstain+Clarify,Abstention,,,
